vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
2W,BGAUSS AUTO PRIVATE LIMITED,2024,4,2024-Q4,0,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2025,1,2025-Q1,0,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2025,2,2025-Q2,0,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2025,3,2025-Q3,618,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2025,4,2025-Q4,0,618,100
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023,1,2023-Q1,31,,
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023,2,2023-Q2,13,31,58.06
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023,3,2023-Q3,13,13,0
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023,4,2023-Q4,8,13,38.46
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2024,1,2024-Q1,3,8,62.5
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2024,2,2024-Q2,1,3,66.67
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2024,3,2024-Q3,0,1,100
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2024,4,2024-Q4,2,0,
2W,BMR EV INDUSTRIES PVT LTD,2025,1,2025-Q1,2,,
2W,BMR EV INDUSTRIES PVT LTD,2025,2,2025-Q2,1,2,50
2W,BMR EV INDUSTRIES PVT LTD,2025,3,2025-Q3,5,1,400
2W,BMR EV INDUSTRIES PVT LTD,2025,4,2025-Q4,0,5,100
2W,BMW INDIA PVT LTD,2023,1,2023-Q1,2011,,
2W,BMW INDIA PVT LTD,2023,2,2023-Q2,2042,2011,1.54
2W,BMW INDIA PVT LTD,2023,3,2023-Q3,1979,2042,3.09
2W,BMW INDIA PVT LTD,2023,4,2023-Q4,1744,1979,11.87
2W,BMW INDIA PVT LTD,2024,1,2024-Q1,1618,1744,7.22
2W,BMW INDIA PVT LTD,2024,2,2024-Q2,1754,1618,8.41
2W,BMW INDIA PVT LTD,2024,3,2024-Q3,1623,1754,7.47
2W,BMW INDIA PVT LTD,2024,4,2024-Q4,1916,1623,18.05
2W,BMW INDIA PVT LTD,2025,1,2025-Q1,1848,1916,3.55
2W,BMW INDIA PVT LTD,2025,2,2025-Q2,1209,1848,34.58
2W,BMW INDIA PVT LTD,2025,3,2025-Q3,454,1209,62.45
2W,BMW INDIA PVT LTD,2025,4,2025-Q4,0,454,100
2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2023,1,2023-Q1,12,,
